runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Viereck	E	2	0	163145.5		-1	-163146.5	rm_other	LP
run_1	block_1	Viereck	M	2	0	166278.4		-1	-166279.4	rm_other	LP
run_1	block_1	Viereck	E	2	0	168611.4		-1	-168612.4	rm_other	LP
run_1	block_1	Stern	A	2	0	172744.2		-1	-172745.2	rm_other	LP
run_1	block_1	Viereck	M	2	0	175877.1		-1	-175878.1	rm_other	LP
run_1	block_1	Stern	E	2	0	178410.1		-1	-178411.1	rm_other	LP
run_1	block_1	Stern	A	2	0	181943		-1	-181944	rm_other	LP
run_1	block_1	Kreis	X	2	2	184476	2	184962	486	rm_hit	LP
run_1	block_1	Stern	A	2	0	186892.4		-1	-186893.4	rm_other	LP
run_1	block_1	Stern	M	2	0	189425.4		-1	-189426.4	rm_other	LP
run_1	block_1	Kreis	M	2	2	192158.4	2	192602.7	444.3	rm_hit	LP
run_1	block_1	Dreieck	D	2	0	193724.8		-1	-193725.8	rm_other	LP
run_1	block_1	Dreieck	M	2	0	197657.6		-1	-197658.6	rm_other	LP
run_1	block_1	Viereck	M	2	0	201790.4		-1	-201791.4	rm_other	LP
run_1	block_1	Viereck	A	2	0	204523.4		-1	-204524.4	rm_other	LP
run_1	block_1	Stern	D	2	0	208056.3		-1	-208057.3	rm_other	LP
run_1	block_1	Viereck	T	2	0	210389.3		-1	-210390.3	rm_other	LP
run_1	block_1	Kreis	D	2	2	213122.3	2	213744.2	621.9	rm_hit	LP
run_1	block_1	Viereck	M	2	0	215872		-1	-215873	rm_other	LP
run_1	block_1	Stern	D	2	0	219004.9		-1	-219005.9	rm_other	LP
run_1	block_1	Kreis	A	2	2	221537.9	2	222058.5	520.6	rm_hit	LP
run_1	block_1	Viereck	M	2	0	222787.7		-1	-222788.7	rm_other	LP
run_1	block_1	Kreis	E	2	2	226520.6	2	226863.3	342.7	rm_hit	LP
run_1	block_1	Dreieck	A	2	0	227387.1		-1	-227388.1	rm_other	LP
run_1	block_1	Stern	X	2	0	230120.1		-1	-230121.1	rm_other	LP
run_1	block_1	Kreis	D	2	2	233453	2	233810.3	357.3	rm_hit	LP
run_1	block_2	Kreis	9	1	0	237085.9		-1	-237086.9	rm_other	LP
run_1	block_2	Kreis	7	1	0	239418.9		-1	-239419.9	rm_other	LP
run_1	block_2	Dreieck	6	1	0	241951.9		-1	-241952.9	rm_other	LP
