runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Dreieck	M	2	0	222345.3		-1	-222346.3	rm_other	ismihan
run_1	block_1	Dreieck	T	2	0	224681.2		-1	-224682.2	rm_other	ismihan
run_1	block_1	Viereck	A	2	0	227417.6		-1	-227418.6	rm_other	ismihan
run_1	block_1	Kreis	E	2	2	229953.7	2	230322.4	368.7	rm_hit	ismihan
run_1	block_1	Stern	M	2	0	231054.9		-1	-231055.9	rm_other	ismihan
run_1	block_1	Viereck	T	2	0	233791.3		-1	-233792.3	rm_other	ismihan
run_1	block_1	Stern	X	2	0	237929.2		-1	-237930.2	rm_other	ismihan
run_1	block_1	Stern	T	2	0	240265.1		-1	-240266.1	rm_other	ismihan
run_1	block_1	Viereck	T	2	0	243602.1		-1	-243603.1	rm_other	ismihan
run_1	block_1	Stern	T	2	0	246338.4		-1	-246339.4	rm_other	ismihan
run_1	block_1	Kreis	E	2	2	250075.9	2	250366.8	290.9	rm_hit	ismihan
run_1	block_1	Dreieck	D	2	0	251293.9		-1	-251294.9	rm_other	ismihan
run_1	block_1	Stern	T	2	0	254630.9		-1	-254631.9	rm_other	ismihan
run_1	block_1	Kreis	T	2	2	258568.6	2	259058	489.4	rm_hit	ismihan
run_1	block_1	Dreieck	M	2	0	259586.4		-1	-259587.4	rm_other	ismihan
run_1	block_1	Stern	X	2	0	262723.2		-1	-262724.2	rm_other	ismihan
run_1	block_1	Stern	E	2	0	265459.5		-1	-265460.5	rm_other	ismihan
run_1	block_1	Viereck	M	2	0	269597.4		-1	-269598.4	rm_other	ismihan
run_1	block_1	Viereck	A	2	0	272934.4		-1	-272935.4	rm_other	ismihan
run_1	block_1	Stern	A	2	0	276071.2		-1	-276072.2	rm_other	ismihan
run_1	block_1	Dreieck	X	2	0	278807.6		-1	-278808.6	rm_other	ismihan
run_1	block_1	Kreis	D	2	2	281343.7	2	281789.6	445.9	rm_hit	ismihan
run_1	block_1	Dreieck	T	2	0	282311.5		-1	-282312.5	rm_other	ismihan
run_1	block_1	Kreis	A	2	2	285448.3	2	285865.1	416.8	rm_hit	ismihan
run_1	block_1	Viereck	E	2	0	287400.4		-1	-287401.4	rm_other	ismihan
run_1	block_1	Kreis	E	2	2	290937.6	2	291365.6	428	rm_hit	ismihan
run_1	block_2	Viereck	7	1	0	297995.4		-1	-297996.4	rm_other	ismihan
run_1	block_2	Kreis	3	1	1	301933.1	1	302462.2	529.1	rm_hit	ismihan
run_1	block_2	Dreieck	7	1	0	304385.8		-1	-304386.8	rm_other	ismihan
run_1	block_2	Kreis	7	1	0	307522.6		-1	-307523.6	rm_other	ismihan
run_1	block_2	Kreis	9	1	0	311660.5		-1	-311661.5	rm_other	ismihan
run_1	block_2	Viereck	4	1	0	315598.2		-1	-315599.2	rm_other	ismihan
run_1	block_2	Stern	9	1	0	318134.3		-1	-318135.3	rm_other	ismihan
run_1	block_2	Viereck	4	1	0	320470.2		-1	-320471.2	rm_other	ismihan
run_1	block_2	Dreieck	3	1	1	323206.6	1	323549.6	343	rm_hit	ismihan
run_1	block_2	Kreis	7	1	0	325876.2		-1	-325877.2	rm_other	ismihan
run_1	block_2	Stern	6	1	0	329413.4		-1	-329414.4	rm_other	ismihan
run_1	block_2	Stern	7	1	0	333351.1		-1	-333352.1	rm_other	ismihan
run_1	block_2	Kreis	6	1	0	336688.1		-1	-336689.1	rm_other	ismihan
