runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Dreieck	D	2	0	176030		-1	-176031	rm_other	Melanie
run_1	block_1	Dreieck	A	2	0	179359.5		-1	-179360.5	rm_other	Melanie
run_1	block_1	Kreis	E	2	2	183288.3	2	183973.9	685.6	rm_hit	Melanie
run_1	block_1	Viereck	A	2	0	185702.2		-1	-185703.2	rm_other	Melanie
run_1	block_1	Dreieck	M	2	0	189031.7		-1	-189032.7	rm_other	Melanie
run_1	block_1	Kreis	A	2	2	193160.2	2	193449.8	289.6	rm_hit	Melanie
run_1	block_1	Viereck	E	2	0	195374.3		-1	-195375.3	rm_other	Melanie
run_1	block_1	Viereck	T	2	0	199502.9		-1	-199503.9	rm_other	Melanie
run_1	block_1	Stern	E	2	0	202033.3		-1	-202034.3	rm_other	Melanie
run_1	block_1	Kreis	D	2	2	204963.3	2	205272.6	309.3	rm_hit	Melanie
run_1	block_1	Stern	T	2	0	206395		-1	-206396	rm_other	Melanie
run_1	block_1	Dreieck	E	2	0	209724.4		-1	-209725.4	rm_other	Melanie
run_1	block_1	Stern	E	2	0	212854.2		-1	-212855.2	rm_other	Melanie
run_1	block_1	Dreieck	M	2	0	216183.7		-1	-216184.7	rm_other	Melanie
run_1	block_1	Kreis	M	2	2	219313.4	2	219646.6	333.2	rm_hit	Melanie
run_1	block_1	Stern	E	2	0	220778.3		-1	-220779.3	rm_other	Melanie
run_1	block_1	Viereck	E	2	0	224906.9		-1	-224907.9	rm_other	Melanie
run_1	block_1	Stern	M	2	0	228635.9		-1	-228636.9	rm_other	Melanie
run_1	block_1	Viereck	E	2	0	231366.1		-1	-231367.1	rm_other	Melanie
run_1	block_1	Stern	A	2	0	233896.5		-1	-233897.5	rm_other	Melanie
run_1	block_1	Viereck	M	2	0	238025.1		-1	-238026.1	rm_other	Melanie
run_1	block_1	Kreis	X	2	2	241354.6	2	241730.2	375.6	rm_hit	Melanie
run_1	block_1	Dreieck	X	2	0	242453.3		-1	-242454.3	rm_other	Melanie
run_1	block_1	Dreieck	M	2	0	245982.6		-1	-245983.6	rm_other	Melanie
run_1	block_1	Kreis	A	2	2	249511.8	2	249941.3	429.5	rm_hit	Melanie
run_1	block_1	Dreieck	X	2	0	251276.5		-1	-251277.5	rm_other	Melanie
run_1	block_2	Dreieck	9	1	0	260182.8		-1	-260183.8	rm_other	Melanie
run_1	block_2	Stern	3	1	1	263312.6	1	263652.8	340.2	rm_hit	Melanie
run_1	block_2	Viereck	7	1	0	264777.5		-1	-264778.5	rm_other	Melanie
run_1	block_2	Viereck	9	1	0	267707.5		-1	-267708.5	rm_other	Melanie
run_1	block_2	Kreis	6	1	0	271436.5		-1	-271437.5	rm_other	Melanie
run_1	block_2	Dreieck	6	1	0	274566.3		-1	-274567.3	rm_other	Melanie
run_1	block_2	Dreieck	4	1	0	277696		-1	-277697	rm_other	Melanie
run_1	block_2	Stern	3	1	1	280026.6	1	280571.8	545.2	rm_hit	Melanie
run_1	block_2	Viereck	7	1	0	282690.2		-1	-282691.2	rm_other	Melanie
run_1	block_2	Stern	3	1	1	285420.4	1	285963.4	543	rm_hit	Melanie
run_1	block_2	Stern	6	1	0	288283.7		-1	-288284.7	rm_other	Melanie
run_1	block_2	Kreis	3	1	1	290814.2	1	291255	440.8	rm_hit	Melanie
run_1	block_2	Viereck	6	1	0	292379		-1	-292380	rm_other	Melanie
run_1	block_2	Stern	4	1	0	296108		-1	-296109	rm_other	Melanie
run_1	block_2	Dreieck	9	1	0	298438.7		-1	-298439.7	rm_other	Melanie
run_1	block_2	Kreis	7	1	0	301568.4		-1	-301569.4	rm_other	Melanie
run_1	block_2	Kreis	3	1	1	303899	1	304279.5	380.5	rm_hit	Melanie
run_1	block_2	Dreieck	2	1	0	305613.7		-1	-305614.7	rm_other	Melanie
run_1	block_2	Dreieck	4	1	0	307944.4		-1	-307945.4	rm_other	Melanie
run_1	block_2	Viereck	6	1	0	311673.4		-1	-311674.4	rm_other	Melanie
run_1	block_2	Viereck	3	1	1	314203.8	1	314544.8	341	rm_hit	Melanie
run_1	block_2	Dreieck	6	1	0	316667.6		-1	-316668.6	rm_other	Melanie
run_1	block_2	Stern	6	1	0	318998.3		-1	-318999.3	rm_other	Melanie
run_1	block_2	Kreis	2	1	0	323126.8		-1	-323127.8	rm_other	Melanie
run_1	block_2	Kreis	7	1	0	326056.8		-1	-326057.8	rm_other	Melanie
run_1	block_2	Viereck	7	1	0	328986.7		-1	-328987.7	rm_other	Melanie
run_1	block_3	Viereck	D	1	0	342604.3		-1	-342605.3	rm_other	Melanie
run_1	block_3	Dreieck	M	1	1	345534.3	1	345926.4	392.1	rm_hit	Melanie
run_1	block_3	Stern	E	1	0	347249		-1	-347250	rm_other	Melanie
run_1	block_3	Stern	M	1	1	351377.6	1	351758.7	381.1	rm_hit	Melanie
run_1	block_3	Stern	E	1	0	353092.2		-1	-353093.2	rm_other	Melanie
run_1	block_3	Dreieck	E	1	0	356621.5		-1	-356622.5	rm_other	Melanie
run_1	block_3	Stern	M	1	1	360150.8	1	360484.7	333.9	rm_hit	Melanie
run_1	block_3	Kreis	D	1	0	361016.4		-1	-361017.4	rm_other	Melanie
run_1	block_3	Kreis	M	1	1	364345.9	1	364742.4	396.5	rm_hit	Melanie
