runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Stern	M	2	0	206262		-1	-206263	rm_other	Verena 
run_1	block_1	Stern	T	2	0	209575.9		-1	-209576.9	rm_other	Verena 
run_1	block_1	Dreieck	E	2	0	213693.1		-1	-213694.1	rm_other	Verena 
run_1	block_1	Viereck	E	2	0	217609.5		-1	-217610.5	rm_other	Verena 
run_1	block_1	Stern	T	2	0	221525.8		-1	-221526.8	rm_other	Verena 
run_1	block_1	Stern	A	2	0	224061.4		-1	-224062.4	rm_other	Verena 
run_1	block_1	Stern	D	2	0	226396.2		-1	-226397.2	rm_other	Verena 
run_1	block_1	Stern	T	2	0	228931.8		-1	-228932.8	rm_other	Verena 
run_1	block_1	Kreis	E	2	2	232245.6	2	232884.3	638.7	rm_hit	Verena 
run_1	block_1	Dreieck	M	2	0	234003		-1	-234004	rm_other	Verena 
run_1	block_1	Dreieck	D	2	0	236337.7		-1	-236338.7	rm_other	Verena 
run_1	block_1	Viereck	M	2	0	239074.2		-1	-239075.2	rm_other	Verena 
run_1	block_1	Dreieck	E	2	0	242187.2		-1	-242188.2	rm_other	Verena 
run_1	block_1	Kreis	A	2	2	245902.7	2	246231.1	328.4	rm_hit	Verena 
run_1	block_1	Stern	M	2	0	246781.4		-1	-246782.4	rm_other	Verena 
run_1	block_1	Kreis	A	2	2	250496.9	2	250766.1	269.2	rm_hit	Verena 
run_1	block_1	Viereck	T	2	0	252907	2	253241.1	334.1	rm_false_alarm	Verena 
run_1	block_1	Kreis	A	2	2	253785.7	2	254434.1	648.4	rm_hit	Verena 
run_1	block_1	Dreieck	A	2	0	256346.4		-1	-256347.4	rm_other	Verena 
run_1	block_1	Kreis	E	2	2	258681.1	2	258990.3	309.2	rm_hit	Verena 
run_1	block_1	Stern	E	2	0	261116.3		-1	-261117.3	rm_other	Verena 
run_1	block_1	Dreieck	D	2	0	264430.2		-1	-264431.2	rm_other	Verena 
run_1	block_1	Dreieck	M	2	0	268145.7		-1	-268146.7	rm_other	Verena 
run_1	block_1	Stern	E	2	0	272062.1		-1	-272063.1	rm_other	Verena 
run_1	block_1	Stern	D	2	0	274798.5		-1	-274799.5	rm_other	Verena 
run_1	block_1	Kreis	E	2	2	277534.9	2	277878.6	343.7	rm_hit	Verena 
run_1	block_2	Dreieck	7	1	0	282455.5		-1	-282456.5	rm_other	Verena 
run_1	block_2	Viereck	9	1	0	286572.7		-1	-286573.7	rm_other	Verena 
run_1	block_2	Stern	2	1	0	289484.9		-1	-289485.9	rm_other	Verena 
run_1	block_2	Viereck	4	1	0	291819.6		-1	-291820.6	rm_other	Verena 
run_1	block_2	Viereck	7	1	0	294154.4		-1	-294155.4	rm_other	Verena 
run_1	block_2	Dreieck	7	1	0	296690		-1	-296691	rm_other	Verena 
run_1	block_2	Stern	3	1	1	299602.2	1	299957.8	355.6	rm_hit	Verena 
