runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Dreieck	E	2	0	173359.8		-1	-173360.8	rm_other	AR01
run_1	block_1	Viereck	D	2	0	176699.8		-1	-176700.8	rm_other	AR01
run_1	block_1	Stern	E	2	0	180639.8		-1	-180640.8	rm_other	AR01
run_1	block_1	Viereck	D	2	0	183779.8		-1	-183780.8	rm_other	AR01
run_1	block_1	Kreis	M	2	2	186119.8	2	186644.9	525.1	rm_hit	AR01
run_1	block_1	Stern	T	2	0	187779.8		-1	-187780.8	rm_other	AR01
run_1	block_1	Stern	A	2	0	190919.8		-1	-190920.8	rm_other	AR01
run_1	block_1	Dreieck	E	2	0	193859.8		-1	-193860.8	rm_other	AR01
run_1	block_1	Viereck	E	2	0	197599.8		-1	-197600.8	rm_other	AR01
run_1	block_1	Kreis	E	2	2	200339.8	2	200756.9	417.1	rm_hit	AR01
run_1	block_1	Viereck	A	2	0	202899.8		-1	-202900.8	rm_other	AR01
run_1	block_1	Kreis	E	2	2	207039.8	2	207388.9	349.1	rm_hit	AR01
run_1	block_1	Stern	D	2	0	209519.8		-1	-209520.8	rm_other	AR01
run_1	block_1	Viereck	D	2	0	213459.8		-1	-213460.8	rm_other	AR01
run_1	block_1	Viereck	X	2	0	217199.8		-1	-217200.8	rm_other	AR01
run_1	block_1	Kreis	T	2	2	220739.8	2	221052.9	313.1	rm_hit	AR01
run_1	block_1	Viereck	D	2	0	222579.8		-1	-222580.8	rm_other	AR01
run_1	block_1	Stern	X	2	0	225519.8		-1	-225520.8	rm_other	AR01
run_1	block_1	Dreieck	T	2	0	228459.8		-1	-228460.8	rm_other	AR01
run_1	block_1	Kreis	X	2	2	232399.8	2	232740.9	341.1	rm_hit	AR01
run_1	block_1	Dreieck	A	2	0	233479.8		-1	-233480.8	rm_other	AR01
run_1	block_1	Stern	M	2	0	236819.8		-1	-236820.8	rm_other	AR01
run_1	block_1	Stern	X	2	0	239559.8		-1	-239560.8	rm_other	AR01
run_1	block_1	Viereck	E	2	0	243099.8		-1	-243100.8	rm_other	AR01
run_1	block_1	Kreis	E	2	2	246639.8	2	247012.9	373.1	rm_hit	AR01
run_1	block_1	Viereck	D	2	0	249339.8		-1	-249340.8	rm_other	AR01
run_1	block_2	Stern	4	1	0	256659.8		-1	-256660.8	rm_other	AR01
run_1	block_2	Dreieck	2	1	0	259199.8		-1	-259200.8	rm_other	AR01
run_1	block_2	Stern	7	1	0	262939.8		-1	-262940.8	rm_other	AR01
run_1	block_2	Kreis	7	1	0	266679.8		-1	-266680.8	rm_other	AR01
run_1	block_2	Kreis	3	1	1	269819.8	1	270212.9	393.1	rm_hit	AR01
run_1	block_2	Dreieck	4	1	0	270739.8		-1	-270740.8	rm_other	AR01
run_1	block_2	Viereck	7	1	0	273079.8		-1	-273080.8	rm_other	AR01
run_1	block_2	Stern	3	1	1	275819.8	1	276212.9	393.1	rm_hit	AR01
run_1	block_2	Dreieck	4	1	0	277339.8		-1	-277340.8	rm_other	AR01
run_1	block_2	Viereck	4	1	0	280679.8		-1	-280680.8	rm_other	AR01
run_1	block_2	Viereck	6	1	0	283019.8		-1	-283020.8	rm_other	AR01
run_1	block_2	Stern	3	1	1	285559.8	1	285940.9	381.1	rm_hit	AR01
run_1	block_2	Dreieck	7	1	0	288079.8		-1	-288080.8	rm_other	AR01
run_1	block_2	Stern	2	1	0	290619.7		-1	-290620.7	rm_other	AR01
run_1	block_2	Dreieck	2	1	0	293959.8		-1	-293960.8	rm_other	AR01
run_1	block_2	Stern	4	1	0	297099.7		-1	-297100.7	rm_other	AR01
run_1	block_2	Viereck	3	1	1	299439.7	1	299812.9	373.2	rm_hit	AR01
run_1	block_2	Viereck	7	1	0	301739.7		-1	-301740.7	rm_other	AR01
