runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Stern	X	2	0	175263.7		-1	-175264.7	rm_other	BL02
run_1	block_1	Viereck	T	2	0	179393.5		-1	-179394.5	rm_other	BL02
run_1	block_1	Stern	A	2	0	182957		-1	-182958	rm_other	BL02
run_1	block_1	Kreis	E	2	2	187103.4	2	187361.4	258	rm_hit	BL02
run_1	block_1	Dreieck	M	2	0	189701.1	2	189977.4	276.3	rm_false_alarm	BL02
run_1	block_1	Dreieck	T	2	0	191915.9		-1	-191916.9	rm_other	BL02
run_1	block_1	Viereck	D	2	0	194646.8		-1	-194647.8	rm_other	BL02
run_1	block_1	Viereck	T	2	0	197777.4		-1	-197778.4	rm_other	BL02
run_1	block_1	Dreieck	D	2	0	200142		-1	-200143	rm_other	BL02
run_1	block_1	Dreieck	A	2	0	203505.8		-1	-203506.8	rm_other	BL02
run_1	block_1	Kreis	T	2	2	206053.5	2	206313.4	259.9	rm_hit	BL02
run_1	block_1	Stern	X	2	0	208251.6		-1	-208252.6	rm_other	BL02
run_1	block_1	Viereck	E	2	0	210582.9		-1	-210583.9	rm_other	BL02
run_1	block_1	Stern	M	2	0	213713.5		-1	-213714.5	rm_other	BL02
run_1	block_1	Kreis	A	2	2	217843.3	2	218249.5	406.2	rm_hit	BL02
run_1	block_1	Stern	D	2	0	218792.4		-1	-218793.4	rm_other	BL02
run_1	block_1	Kreis	A	2	2	222356	1	222665.4	309.4	rm_incorrect	BL02
run_1	block_1	Stern	M	2	0	224004.5	2	224297.4	292.9	rm_false_alarm	BL02
run_1	block_1	Viereck	D	2	0	224837.2		-1	-224838.2	rm_other	BL02
run_1	block_1	Viereck	E	2	0	227568.1		-1	-227569.1	rm_other	BL02
run_1	block_1	Viereck	A	2	0	230498.9		-1	-230499.9	rm_other	BL02
run_1	block_1	Viereck	X	2	0	233030		-1	-233031	rm_other	BL02
run_1	block_1	Kreis	T	2	2	236360.4	2	236657.4	297	rm_hit	BL02
run_1	block_1	Viereck	T	2	0	239008.1		-1	-239009.1	rm_other	BL02
run_1	block_1	Viereck	A	2	0	243171.2		-1	-243172.2	rm_other	BL02
run_1	block_1	Kreis	M	2	2	245702.3	2	245945.4	243.1	rm_hit	BL02
run_1	block_2	Kreis	7	1	0	251280.8		-1	-251281.8	rm_other	BL02
run_1	block_2	Dreieck	7	1	0	253612		-1	-253613	rm_other	BL02
run_1	block_2	Dreieck	6	1	0	257558.6		-1	-257559.6	rm_other	BL02
run_1	block_2	Kreis	9	1	0	261322		-1	-261323	rm_other	BL02
run_1	block_2	Kreis	2	1	0	264652.4		-1	-264653.4	rm_other	BL02
run_1	block_2	Stern	6	1	0	267583.2		-1	-267584.2	rm_other	BL02
run_1	block_2	Viereck	9	1	0	271113.4		-1	-271114.4	rm_other	BL02
run_1	block_2	Dreieck	3	1	1	275043.4	1	275393.4	350	rm_hit	BL02
run_1	block_2	Viereck	9	1	0	276142.4		-1	-276143.4	rm_other	BL02
run_1	block_2	Stern	3	1	1	280105.6	1	280433.3	327.7	rm_hit	BL02
run_1	block_2	Kreis	6	1	0	282170.5		-1	-282171.5	rm_other	BL02
run_1	block_2	Stern	7	1	0	284701.6		-1	-284702.6	rm_other	BL02
run_1	block_2	Stern	6	1	0	287232.7		-1	-287233.7	rm_other	BL02
run_1	block_2	Kreis	3	1	1	290763	1	290977.3	214.3	rm_hit	BL02
run_1	block_2	Viereck	7	1	0	292711.3		-1	-292712.3	rm_other	BL02
run_1	block_2	Kreis	9	1	0	295458.9	1	295769.3	310.4	rm_false_alarm	BL02
run_1	block_2	Dreieck	3	1	1	298123.2	1	298449.3	326.1	rm_hit	BL02
run_1	block_2	Viereck	4	1	0	300204.7		-1	-300205.7	rm_other	BL02
run_1	block_2	Dreieck	3	1	1	303335.3	1	303657.3	322	rm_hit	BL02
run_1	block_2	Viereck	2	1	0	305400.2		-1	-305401.2	rm_other	BL02
run_1	block_2	Stern	2	1	0	309529.9		-1	-309530.9	rm_other	BL02
run_1	block_2	Viereck	7	1	0	313260		-1	-313261	rm_other	BL02
run_1	block_2	Dreieck	7	1	0	316224.1		-1	-316225.1	rm_other	BL02
run_1	block_2	Viereck	6	1	0	318588.7		-1	-318589.7	rm_other	BL02
run_1	block_2	Kreis	9	1	0	320920		-1	-320921	rm_other	BL02
run_1	block_2	Viereck	3	1	1	323251.3	1	323625.3	374	rm_hit	BL02
run_1	block_3	Stern	A	1	0	328496.7		-1	-328497.7	rm_other	BL02
run_1	block_3	Dreieck	E	1	0	332426.6		-1	-332427.6	rm_other	BL02
run_1	block_3	Stern	M	1	1	335190.9	1	335473.5	282.6	rm_hit	BL02
run_1	block_3	Viereck	X	1	0	336240		-1	-336241	rm_other	BL02
run_1	block_3	Viereck	A	1	0	340386.4		-1	-340387.4	rm_other	BL02
run_1	block_3	Stern	T	1	0	343317.1		-1	-343318.1	rm_other	BL02
