runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Stern	T	2	0	152733.5		-1	-152734.5	rm_other	GS08
run_1	block_1	Viereck	D	2	0	156266.9		-1	-156267.9	rm_other	GS08
run_1	block_1	Dreieck	X	2	0	159000.2		-1	-159001.2	rm_other	GS08
run_1	block_1	Viereck	M	2	0	162533.5		-1	-162534.5	rm_other	GS08
run_1	block_1	Viereck	D	2	0	165866.9		-1	-165867.9	rm_other	GS08
run_1	block_1	Kreis	A	2	2	168800.2	2	169041.5	241.3	rm_hit	GS08
run_1	block_1	Stern	A	2	0	170766.9		-1	-170767.9	rm_other	GS08
run_1	block_1	Viereck	X	2	0	174500.2		-1	-174501.2	rm_other	GS08
run_1	block_1	Dreieck	E	2	0	177833.6		-1	-177834.6	rm_other	GS08
run_1	block_1	Kreis	E	2	2	180166.9	2	180513.6	346.7	rm_hit	GS08
run_1	block_1	Viereck	D	2	0	181050.2		-1	-181051.2	rm_other	GS08
run_1	block_1	Stern	T	2	0	183383.6		-1	-183384.6	rm_other	GS08
run_1	block_1	Dreieck	M	2	0	186316.9		-1	-186317.9	rm_other	GS08
run_1	block_1	Kreis	M	2	2	189250.2	2	189497.6	247.4	rm_hit	GS08
run_1	block_1	Dreieck	D	2	0	190233.6		-1	-190234.6	rm_other	GS08
run_1	block_1	Viereck	A	2	0	193966.9		-1	-193967.9	rm_other	GS08
run_1	block_1	Kreis	A	2	2	196700.2	2	197217.5	517.3	rm_hit	GS08
run_1	block_1	Viereck	T	2	0	198950.3		-1	-198951.3	rm_other	GS08
run_1	block_1	Kreis	T	2	2	202083.6	2	202345.5	261.9	rm_hit	GS08
run_1	block_1	Dreieck	D	2	0	203283.6		-1	-203284.6	rm_other	GS08
run_1	block_1	Kreis	E	2	2	205816.9	2	206137.5	320.6	rm_hit	GS08
run_1	block_1	Viereck	E	2	0	208466.9		-1	-208467.9	rm_other	GS08
run_1	block_1	Dreieck	M	2	0	212400.3		-1	-212401.3	rm_other	GS08
run_1	block_1	Viereck	T	2	0	215133.6		-1	-215134.6	rm_other	GS08
run_1	block_1	Viereck	A	2	0	218066.9		-1	-218067.9	rm_other	GS08
run_1	block_1	Dreieck	X	2	0	221000.3		-1	-221001.3	rm_other	GS08
run_1	block_2	Dreieck	4	1	0	227050.3		-1	-227051.3	rm_other	GS08
run_1	block_2	Stern	9	1	0	230983.6		-1	-230984.6	rm_other	GS08
