runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Stern	X	2	0	184700.1		-1	-184701.1	rm_other	JT01
run_1	block_1	Dreieck	A	2	0	188033.4		-1	-188034.4	rm_other	JT01
run_1	block_1	Stern	T	2	0	190366.8		-1	-190367.8	rm_other	JT01
run_1	block_1	Dreieck	M	2	0	193700.1		-1	-193701.1	rm_other	JT01
run_1	block_1	Dreieck	A	2	0	197033.4		-1	-197034.4	rm_other	JT01
run_1	block_1	Stern	M	2	0	200366.8		-1	-200367.8	rm_other	JT01
run_1	block_1	Dreieck	M	2	0	203300.1		-1	-203301.1	rm_other	JT01
run_1	block_1	Viereck	X	2	0	206033.4		-1	-206034.4	rm_other	JT01
run_1	block_1	Kreis	T	2	2	209566.8	2	209854.7	287.9	rm_hit	JT01
run_1	block_1	Dreieck	E	2	0	211183.4		-1	-211184.4	rm_other	JT01
run_1	block_1	Kreis	X	2	2	213516.8	2	214038.7	521.9	rm_hit	JT01
run_1	block_1	Dreieck	E	2	0	215766.8		-1	-215767.8	rm_other	JT01
run_1	block_1	Viereck	D	2	0	218500.1		-1	-218501.1	rm_other	JT01
run_1	block_1	Viereck	X	2	0	221433.4		-1	-221434.4	rm_other	JT01
run_1	block_1	Kreis	T	2	2	224766.8	2	225110.7	343.9	rm_hit	JT01
run_1	block_1	Stern	T	2	0	226833.4		-1	-226834.4	rm_other	JT01
run_1	block_1	Viereck	M	2	0	229166.8		-1	-229167.8	rm_other	JT01
run_1	block_1	Dreieck	M	2	0	232700.1		-1	-232701.1	rm_other	JT01
run_1	block_1	Kreis	A	2	2	235233.5	2	235606.6	373.1	rm_hit	JT01
run_1	block_1	Viereck	E	2	0	237533.5		-1	-237534.5	rm_other	JT01
run_1	block_1	Kreis	M	2	2	241066.8	2	241470.7	403.9	rm_hit	JT01
run_1	block_1	Dreieck	E	2	0	242800.1		-1	-242801.1	rm_other	JT01
run_1	block_1	Kreis	X	2	2	246933.5	2	247270.7	337.2	rm_hit	JT01
run_1	block_1	Stern	M	2	0	248400.1		-1	-248401.1	rm_other	JT01
run_1	block_1	Dreieck	A	2	0	250733.5		-1	-250734.5	rm_other	JT01
run_1	block_1	Stern	M	2	0	254466.8		-1	-254467.8	rm_other	JT01
run_1	block_2	Stern	9	1	0	261566.8		-1	-261567.8	rm_other	JT01
run_1	block_2	Stern	4	1	0	264500.1		-1	-264501.1	rm_other	JT01
run_1	block_2	Kreis	7	1	0	268033.5		-1	-268034.5	rm_other	JT01
run_1	block_2	Viereck	3	1	1	270766.8	1	271126.7	359.9	rm_hit	JT01
