runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Stern	X	2	0	248750.3		-1	-248751.3	rm_other	KE01
run_1	block_1	Viereck	X	2	0	251683.7		-1	-251684.7	rm_other	KE01
run_1	block_1	Kreis	M	2	2	255617	2	255957.5	340.5	rm_hit	KE01
run_1	block_1	Dreieck	E	2	0	258283.7		-1	-258284.7	rm_other	KE01
run_1	block_1	Stern	E	2	0	261817		-1	-261818	rm_other	KE01
run_1	block_1	Kreis	X	2	2	265550.3	2	265869.5	319.2	rm_hit	KE01
run_1	block_1	Dreieck	A	2	0	266800.3		-1	-266801.3	rm_other	KE01
run_1	block_1	Dreieck	E	2	0	270333.7		-1	-270334.7	rm_other	KE01
run_1	block_1	Stern	E	2	0	272667		-1	-272668	rm_other	KE01
run_1	block_1	Kreis	D	2	2	276600.4	2	277109.5	509.1	rm_hit	KE01
run_1	block_1	Stern	A	2	0	279033.7		-1	-279034.7	rm_other	KE01
run_1	block_1	Stern	E	2	0	281567		-1	-281568	rm_other	KE01
run_1	block_1	Kreis	T	2	2	285100.4	2	285469.5	369.1	rm_hit	KE01
run_1	block_1	Viereck	E	2	0	287800.4		-1	-287801.4	rm_other	KE01
run_1	block_1	Stern	D	2	0	291133.7		-1	-291134.7	rm_other	KE01
run_1	block_1	Viereck	D	2	0	295267.1		-1	-295268.1	rm_other	KE01
run_1	block_1	Stern	M	2	0	298200.4		-1	-298201.4	rm_other	KE01
run_1	block_1	Viereck	A	2	0	301533.7		-1	-301534.7	rm_other	KE01
run_1	block_1	Stern	E	2	0	304867.1		-1	-304868.1	rm_other	KE01
run_1	block_1	Kreis	X	2	2	309000.4	2	309573.5	573.1	rm_hit	KE01
run_1	block_1	Stern	M	2	0	310100.4		-1	-310101.4	rm_other	KE01
run_1	block_1	Kreis	E	2	2	312433.7	2	312861.5	427.8	rm_hit	KE01
run_1	block_1	Viereck	T	2	0	313783.7		-1	-313784.7	rm_other	KE01
run_1	block_1	Viereck	A	2	0	317517.1		-1	-317518.1	rm_other	KE01
run_1	block_1	Dreieck	D	2	0	320850.4		-1	-320851.4	rm_other	KE01
run_1	block_1	Viereck	X	2	0	323383.8		-1	-323384.8	rm_other	KE01
run_1	block_2	Kreis	7	1	0	371050.5		-1	-371051.5	rm_other	KE01
run_1	block_2	Viereck	6	1	0	374183.8		-1	-374184.8	rm_other	KE01
run_1	block_2	Dreieck	3	1	1	377717.2	1	378197.5	480.3	rm_hit	KE01
run_1	block_2	Stern	2	1	0	379733.8		-1	-379734.8	rm_other	KE01
run_1	block_2	Viereck	3	1	1	383467.2	1	383885.5	418.3	rm_hit	KE01
run_1	block_2	Viereck	4	1	0	385417.2		-1	-385418.2	rm_other	KE01
run_1	block_2	Kreis	9	1	0	389550.5		-1	-389551.5	rm_other	KE01
run_1	block_2	Kreis	2	1	0	392883.9		-1	-392884.9	rm_other	KE01
run_1	block_2	Viereck	7	1	0	396017.2		-1	-396018.2	rm_other	KE01
run_1	block_2	Dreieck	9	1	0	398750.5		-1	-398751.5	rm_other	KE01
run_1	block_2	Kreis	6	1	0	402683.9		-1	-402684.9	rm_other	KE01
run_1	block_2	Viereck	2	1	0	405617.2		-1	-405618.2	rm_other	KE01
run_1	block_2	Dreieck	9	1	0	409150.5		-1	-409151.5	rm_other	KE01
run_1	block_2	Dreieck	4	1	0	411883.9		-1	-411884.9	rm_other	KE01
run_1	block_2	Kreis	2	1	0	414417.2		-1	-414418.2	rm_other	KE01
run_1	block_2	Dreieck	3	1	1	418550.6	1	418973.5	422.9	rm_hit	KE01
run_1	block_2	Viereck	9	1	0	420100.6		-1	-420101.6	rm_other	KE01
run_1	block_2	Kreis	3	1	1	423433.9	1	423805.5	371.6	rm_hit	KE01
run_1	block_2	Kreis	6	1	0	424333.9		-1	-424334.9	rm_other	KE01
run_1	block_2	Kreis	3	1	1	427667.2	1	428053.5	386.3	rm_hit	KE01
run_1	block_2	Kreis	9	1	0	428783.9		-1	-428784.9	rm_other	KE01
run_1	block_2	Viereck	6	1	0	432717.2		-1	-432718.2	rm_other	KE01
run_1	block_2	Viereck	3	1	1	436050.6	1	436397.5	346.9	rm_hit	KE01
run_1	block_2	Stern	9	1	0	437133.9		-1	-437134.9	rm_other	KE01
