runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Viereck	D	2	0	168436.4		-1	-168437.4	rm_other	LB02
run_1	block_1	Viereck	X	2	0	171184		-1	-171185	rm_other	LB02
run_1	block_1	Dreieck	T	2	0	174914		-1	-174915	rm_other	LB02
run_1	block_1	Kreis	T	2	2	178644.1	2	178957.3	313.2	rm_hit	LB02
run_1	block_1	Viereck	D	2	0	179693.2		-1	-179694.2	rm_other	LB02
run_1	block_1	Stern	X	2	0	182624		-1	-182625	rm_other	LB02
run_1	block_1	Kreis	M	2	2	186570.5	2	186901.3	330.8	rm_hit	LB02
run_1	block_1	Viereck	X	2	0	189051.7		-1	-189052.7	rm_other	LB02
run_1	block_1	Stern	X	2	0	191982.5		-1	-191983.5	rm_other	LB02
run_1	block_1	Viereck	A	2	0	195312.9		-1	-195313.9	rm_other	LB02
run_1	block_1	Stern	D	2	0	198643.3		-1	-198644.3	rm_other	LB02
run_1	block_1	Kreis	X	2	2	200974.6	2	201349.3	374.7	rm_hit	LB02
run_1	block_1	Dreieck	M	2	0	203072.8		-1	-203073.8	rm_other	LB02
run_1	block_1	Stern	A	2	0	206436.5		-1	-206437.5	rm_other	LB02
run_1	block_1	Kreis	T	2	2	209583.8	2	209845.4	261.6	rm_hit	LB02
run_1	block_1	Stern	M	2	0	210383.1		-1	-210384.1	rm_other	LB02
run_1	block_1	Viereck	T	2	0	213913.3		-1	-213914.3	rm_other	LB02
run_1	block_1	Kreis	D	2	2	216444.5	2	216845.3	400.8	rm_hit	LB02
run_1	block_1	Stern	T	2	0	217576.8		-1	-217577.8	rm_other	LB02
run_1	block_1	Stern	A	2	0	221506.7		-1	-221507.7	rm_other	LB02
run_1	block_1	Kreis	D	2	2	225469.9	2	225781.3	311.4	rm_hit	LB02
run_1	block_1	Stern	D	2	0	226935.3		-1	-226936.3	rm_other	LB02
run_1	block_1	Dreieck	X	2	0	229483.1		-1	-229484.1	rm_other	LB02
run_1	block_1	Dreieck	D	2	0	232014.2		-1	-232015.2	rm_other	LB02
run_1	block_1	Stern	X	2	0	234345.5		-1	-234346.5	rm_other	LB02
run_1	block_1	Stern	E	2	0	237676		-1	-237677	rm_other	LB02
run_1	block_2	Stern	2	1	0	244053.7		-1	-244054.7	rm_other	LB02
run_1	block_2	Stern	6	1	0	247617.3		-1	-247618.3	rm_other	LB02
run_1	block_2	Dreieck	9	1	0	250548.1		-1	-250549.1	rm_other	LB02
run_1	block_2	Kreis	9	1	0	254278.1		-1	-254279.1	rm_other	LB02
run_1	block_2	Kreis	6	1	0	257408.7		-1	-257409.7	rm_other	LB02
run_1	block_2	Stern	3	1	1	260539.3	1	260901.3	362	rm_hit	LB02
run_1	block_2	Stern	7	1	0	262237.9		-1	-262238.9	rm_other	LB02
run_1	block_2	Kreis	6	1	0	266400.9		-1	-266401.9	rm_other	LB02
run_1	block_2	Kreis	3	1	1	269731.3	1	270085.3	354	rm_hit	LB02
run_1	block_2	Dreieck	2	1	0	271829.5		-1	-271830.5	rm_other	LB02
run_1	block_2	Dreieck	4	1	0	274960.1		-1	-274961.1	rm_other	LB02
run_1	block_2	Stern	3	1	1	277291.4	1	277693.3	401.9	rm_hit	LB02
run_1	block_2	Dreieck	2	1	0	279822.5		-1	-279823.5	rm_other	LB02
run_1	block_2	Kreis	3	1	1	282386.9	1	282765.3	378.4	rm_hit	LB02
run_1	block_2	Kreis	4	1	0	283918.9		-1	-283919.9	rm_other	LB02
run_1	block_2	Stern	9	1	0	286266.9		-1	-286267.9	rm_other	LB02
run_1	block_2	Kreis	7	1	0	289197.7		-1	-289198.7	rm_other	LB02
run_1	block_2	Dreieck	9	1	0	292128.5		-1	-292129.5	rm_other	LB02
run_1	block_2	Viereck	4	1	0	294659.6		-1	-294660.6	rm_other	LB02
run_1	block_2	Dreieck	2	1	0	297590.4		-1	-297591.4	rm_other	LB02
run_1	block_2	Dreieck	3	1	1	299938.3	1	300309.3	371	rm_hit	LB02
run_1	block_2	Dreieck	7	1	0	300870.8		-1	-300871.8	rm_other	LB02
run_1	block_2	Stern	7	1	0	303834.9		-1	-303835.9	rm_other	LB02
run_1	block_2	Viereck	3	1	1	306166.2	1	306717.3	551.1	rm_hit	LB02
run_1	block_2	Viereck	9	1	0	307448.4		-1	-307449.4	rm_other	LB02
run_1	block_2	Stern	9	1	0	310179.4		-1	-310180.4	rm_other	LB02
run_1	block_3	Kreis	T	1	0	316840.2		-1	-316841.2	rm_other	LB02
