runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Viereck	M	2	0	177766.8		-1	-177767.8	rm_other	LP05
run_1	block_1	Dreieck	E	2	0	181500.2		-1	-181501.2	rm_other	LP05
run_1	block_1	Viereck	M	2	0	184233.5		-1	-184234.5	rm_other	LP05
run_1	block_1	Kreis	A	2	2	187766.8	2	188075.6	308.8	rm_hit	LP05
run_1	block_1	Stern	A	2	0	189200.2		-1	-189201.2	rm_other	LP05
run_1	block_1	Stern	M	2	0	191533.5		-1	-191534.5	rm_other	LP05
run_1	block_1	Dreieck	A	2	0	193866.8		-1	-193867.8	rm_other	LP05
run_1	block_1	Stern	E	2	0	196200.2		-1	-196201.2	rm_other	LP05
run_1	block_1	Kreis	T	2	2	199333.5	2	199739.6	406.1	rm_hit	LP05
run_1	block_1	Viereck	D	2	0	201066.8		-1	-201067.8	rm_other	LP05
run_1	block_1	Stern	A	2	0	205200.2		-1	-205201.2	rm_other	LP05
run_1	block_1	Kreis	A	2	2	208533.5	2	208947.6	414.1	rm_hit	LP05
run_1	block_1	Stern	A	2	0	210283.5		-1	-210284.5	rm_other	LP05
run_1	block_1	Dreieck	E	2	0	213616.9		-1	-213617.9	rm_other	LP05
run_1	block_1	Kreis	E	2	2	216550.2	2	216923.6	373.4	rm_hit	LP05
run_1	block_1	Stern	T	2	0	217650.2		-1	-217651.2	rm_other	LP05
run_1	block_1	Stern	A	2	0	221583.5		-1	-221584.5	rm_other	LP05
run_1	block_1	Kreis	M	2	2	225316.9	2	225707.6	390.7	rm_hit	LP05
run_1	block_1	Viereck	T	2	0	226233.5	2	226651.6	418.1	rm_false_alarm	LP05
run_1	block_1	Dreieck	T	2	0	228183.5		-1	-228184.5	rm_other	LP05
run_1	block_1	Kreis	A	2	2	230516.9	2	230931.6	414.7	rm_hit	LP05
run_1	block_1	Viereck	T	2	0	233266.9		-1	-233267.9	rm_other	LP05
run_1	block_1	Stern	E	2	0	237400.2		-1	-237401.2	rm_other	LP05
run_1	block_1	Dreieck	M	2	0	241533.5		-1	-241534.5	rm_other	LP05
run_1	block_1	Dreieck	E	2	0	244266.9		-1	-244267.9	rm_other	LP05
run_1	block_1	Viereck	T	2	0	247000.2		-1	-247001.2	rm_other	LP05
run_1	block_2	Viereck	7	1	0	253633.6		-1	-253634.6	rm_other	LP05
run_1	block_2	Stern	4	1	0	257366.9		-1	-257367.9	rm_other	LP05
run_1	block_2	Dreieck	3	1	1	260500.2	1	260803.6	303.4	rm_hit	LP05
run_1	block_2	Dreieck	7	1	0	261533.6		-1	-261534.6	rm_other	LP05
run_1	block_2	Dreieck	3	1	1	264066.9	1	264427.6	360.7	rm_hit	LP05
run_1	block_2	Dreieck	4	1	0	265150.2		-1	-265151.2	rm_other	LP05
run_1	block_2	Viereck	7	1	0	267883.6		-1	-267884.6	rm_other	LP05
run_1	block_2	Kreis	4	1	0	271416.9		-1	-271417.9	rm_other	LP05
run_1	block_2	Stern	9	1	0	275550.3		-1	-275551.3	rm_other	LP05
run_1	block_2	Dreieck	7	1	0	279483.6		-1	-279484.6	rm_other	LP05
run_1	block_2	Kreis	2	1	0	281816.9		-1	-281817.9	rm_other	LP05
run_1	block_2	Stern	3	1	1	284750.3	1	285179.6	429.3	rm_hit	LP05
run_1	block_2	Kreis	9	1	0	286100.3		-1	-286101.3	rm_other	LP05
run_1	block_2	Dreieck	7	1	0	290033.6		-1	-290034.6	rm_other	LP05
run_1	block_2	Viereck	4	1	0	293766.9		-1	-293767.9	rm_other	LP05
run_1	block_2	Dreieck	3	1	1	296500.3	1	296827.6	327.3	rm_hit	LP05
run_1	block_2	Viereck	9	1	0	298950.3		-1	-298951.3	rm_other	LP05
run_1	block_2	Dreieck	2	1	0	301883.6		-1	-301884.6	rm_other	LP05
run_1	block_2	Viereck	2	1	0	304816.9		-1	-304817.9	rm_other	LP05
run_1	block_2	Dreieck	3	1	1	307950.3	1	308299.5	349.2	rm_hit	LP05
run_1	block_2	Viereck	7	1	0	309633.6		-1	-309634.6	rm_other	LP05
run_1	block_2	Kreis	3	1	1	312167	1	312531.5	364.5	rm_hit	LP05
run_1	block_2	Viereck	4	1	0	314667		-1	-314668	rm_other	LP05
run_1	block_2	Stern	2	1	0	318600.3		-1	-318601.3	rm_other	LP05
run_1	block_2	Stern	6	1	0	322533.6		-1	-322534.6	rm_other	LP05
run_1	block_2	Viereck	9	1	0	325867		-1	-325868	rm_other	LP05
run_1	block_3	Stern	X	1	0	333800.3		-1	-333801.3	rm_other	LP05
run_1	block_3	Stern	T	1	0	337133.6		-1	-337134.6	rm_other	LP05
run_1	block_3	Dreieck	A	1	0	339867		-1	-339868	rm_other	LP05
run_1	block_3	Viereck	E	1	0	342200.3		-1	-342201.3	rm_other	LP05
run_1	block_3	Kreis	M	1	1	345533.7	1	345979.6	445.9	rm_hit	LP05
run_1	block_3	Viereck	A	1	0	346900.3		-1	-346901.3	rm_other	LP05
run_1	block_3	Stern	X	1	0	350433.7		-1	-350434.7	rm_other	LP05
run_1	block_3	Kreis	X	1	0	353367		-1	-353368	rm_other	LP05
run_1	block_3	Kreis	E	1	0	355900.3		-1	-355901.3	rm_other	LP05
run_1	block_3	Viereck	D	1	0	359033.7		-1	-359034.7	rm_other	LP05
run_1	block_3	Dreieck	M	1	1	362967	1	363283.5	316.5	rm_hit	LP05
run_1	block_3	Viereck	T	1	0	364417		-1	-364418	rm_other	LP05
run_1	block_3	Kreis	M	1	1	366750.3	1	367211.5	461.2	rm_hit	LP05
run_1	block_3	Dreieck	A	1	0	368333.7		-1	-368334.7	rm_other	LP05
