runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Dreieck	T	2	0	239316.9		-1	-239317.9	rm_other	MH05
run_1	block_1	Stern	D	2	0	242850.2		-1	-242851.2	rm_other	MH05
run_1	block_1	Dreieck	D	2	0	245383.6		-1	-245384.6	rm_other	MH05
run_1	block_1	Kreis	T	2	2	248716.9	2	249038.5	321.6	rm_hit	MH05
run_1	block_1	Dreieck	T	2	0	249766.9		-1	-249767.9	rm_other	MH05
run_1	block_1	Stern	X	2	0	253500.2		-1	-253501.2	rm_other	MH05
run_1	block_1	Viereck	E	2	0	257633.6		-1	-257634.6	rm_other	MH05
run_1	block_1	Stern	A	2	0	261166.9		-1	-261167.9	rm_other	MH05
run_1	block_1	Viereck	T	2	0	263900.2		-1	-263901.2	rm_other	MH05
run_1	block_1	Dreieck	T	2	0	266833.6		-1	-266834.6	rm_other	MH05
run_1	block_1	Stern	A	2	0	270366.9		-1	-270367.9	rm_other	MH05
run_1	block_1	Stern	M	2	0	273100.3		-1	-273101.3	rm_other	MH05
run_1	block_1	Viereck	A	2	0	276433.6		-1	-276434.6	rm_other	MH05
run_1	block_1	Viereck	X	2	0	279566.9		-1	-279567.9	rm_other	MH05
run_1	block_1	Kreis	M	2	2	282300.3	2	282710.5	410.2	rm_hit	MH05
run_1	block_1	Dreieck	D	2	0	284033.6		-1	-284034.6	rm_other	MH05
run_1	block_1	Kreis	D	2	2	287566.9	2	287926.5	359.6	rm_hit	MH05
run_1	block_1	Dreieck	M	2	0	289050.3		-1	-289051.3	rm_other	MH05
run_1	block_1	Kreis	X	2	2	292583.6	2	292950.5	366.9	rm_hit	MH05
run_1	block_1	Dreieck	D	2	0	294283.6		-1	-294284.6	rm_other	MH05
run_1	block_1	Kreis	X	2	2	297816.9	2	298542.5	725.6	rm_hit	MH05
run_1	block_1	Viereck	A	2	0	299666.9		-1	-299667.9	rm_other	MH05
run_1	block_1	Viereck	M	2	0	303400.3		-1	-303401.3	rm_other	MH05
run_1	block_1	Dreieck	A	2	0	306333.6		-1	-306334.6	rm_other	MH05
run_1	block_1	Kreis	A	2	2	309467	2	309830.5	363.5	rm_hit	MH05
run_1	block_1	Viereck	X	2	0	311367		-1	-311368	rm_other	MH05
run_1	block_2	Stern	4	1	0	317200.3		-1	-317201.3	rm_other	MH05
run_1	block_2	Viereck	4	1	0	321133.6		-1	-321134.6	rm_other	MH05
run_1	block_2	Dreieck	2	1	0	323467		-1	-323468	rm_other	MH05
run_1	block_2	Dreieck	9	1	0	327200.3		-1	-327201.3	rm_other	MH05
run_1	block_2	Viereck	3	1	1	330133.6	1	330494.5	360.9	rm_hit	MH05
run_1	block_2	Dreieck	7	1	0	332617		-1	-332618	rm_other	MH05
run_1	block_2	Stern	3	1	1	334950.3	1	335334.5	384.2	rm_hit	MH05
run_1	block_2	Viereck	7	1	0	336267		-1	-336268	rm_other	MH05
run_1	block_2	Viereck	2	1	0	340000.3		-1	-340001.3	rm_other	MH05
run_1	block_2	Stern	3	1	1	342733.7	1	343158.5	424.8	rm_hit	MH05
run_1	block_2	Dreieck	4	1	0	344883.7		-1	-344884.7	rm_other	MH05
run_1	block_2	Viereck	6	1	0	347217		-1	-347218	rm_other	MH05
run_1	block_2	Kreis	3	1	1	350750.3	1	351094.5	344.2	rm_hit	MH05
run_1	block_2	Dreieck	7	1	0	353017		-1	-353018	rm_other	MH05
run_1	block_2	Stern	4	1	0	355950.3		-1	-355951.3	rm_other	MH05
run_1	block_2	Kreis	2	1	0	359683.7		-1	-359684.7	rm_other	MH05
run_1	block_2	Dreieck	4	1	0	363417		-1	-363418	rm_other	MH05
run_1	block_2	Kreis	3	1	1	367550.3	1	367998.5	448.2	rm_hit	MH05
run_1	block_2	Viereck	9	1	0	369133.7		-1	-369134.7	rm_other	MH05
run_1	block_2	Viereck	7	1	0	372667		-1	-372668	rm_other	MH05
run_1	block_2	Viereck	4	1	0	376800.4		-1	-376801.4	rm_other	MH05
run_1	block_2	Stern	6	1	0	380933.7		-1	-380934.7	rm_other	MH05
run_1	block_2	Viereck	6	1	0	383467		-1	-383468	rm_other	MH05
run_1	block_2	Stern	6	1	0	387200.4		-1	-387201.4	rm_other	MH05
run_1	block_2	Viereck	3	1	1	390133.7	1	390526.5	392.8	rm_hit	MH05
run_1	block_2	Stern	6	1	0	392250.4		-1	-392251.4	rm_other	MH05
run_1	block_3	Stern	T	1	0	398433.7		-1	-398434.7	rm_other	MH05
run_1	block_3	Viereck	A	1	0	401167		-1	-401168	rm_other	MH05
run_1	block_3	Dreieck	T	1	0	404100.4		-1	-404101.4	rm_other	MH05
run_1	block_3	Kreis	D	1	0	407433.7		-1	-407434.7	rm_other	MH05
run_1	block_3	Stern	D	1	0	409767.1		-1	-409768.1	rm_other	MH05
run_1	block_3	Dreieck	E	1	0	413700.4		-1	-413701.4	rm_other	MH05
run_1	block_3	Dreieck	D	1	0	416833.7		-1	-416834.7	rm_other	MH05
run_1	block_3	Viereck	A	1	0	420767.1		-1	-420768.1	rm_other	MH05
run_1	block_3	Kreis	E	1	0	423300.4		-1	-423301.4	rm_other	MH05
run_1	block_3	Dreieck	M	1	1	426833.7	1	427246.5	412.8	rm_hit	MH05
run_1	block_3	Kreis	T	1	0	429167.1		-1	-429168.1	rm_other	MH05
run_1	block_3	Dreieck	A	1	0	432900.4		-1	-432901.4	rm_other	MH05
