runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Viereck	E	2	0	188859.8		-1	-188860.8	rm_other	MZ10
run_1	block_1	Dreieck	A	2	0	191199.8		-1	-191200.8	rm_other	MZ10
run_1	block_1	Stern	X	2	0	195139.8		-1	-195140.8	rm_other	MZ10
run_1	block_1	Viereck	T	2	0	197879.8		-1	-197880.8	rm_other	MZ10
run_1	block_1	Stern	X	2	0	200419.8		-1	-200420.8	rm_other	MZ10
run_1	block_1	Dreieck	D	2	0	204159.8		-1	-204160.8	rm_other	MZ10
run_1	block_1	Kreis	A	2	2	206499.8	2	206958.9	459.1	rm_hit	MZ10
run_1	block_1	Dreieck	X	2	0	208499.8		-1	-208500.8	rm_other	MZ10
run_1	block_1	Kreis	X	2	2	212039.8	2	212439	399.2	rm_hit	MZ10
run_1	block_1	Viereck	E	2	0	214579.8		-1	-214580.8	rm_other	MZ10
run_1	block_1	Viereck	D	2	0	218319.8		-1	-218320.8	rm_other	MZ10
run_1	block_1	Kreis	T	2	2	221459.8	2	222102.9	643.1	rm_hit	MZ10
run_1	block_1	Dreieck	E	2	0	223039.8		-1	-223040.8	rm_other	MZ10
run_1	block_1	Kreis	M	2	2	225579.8	2	225990.9	411.1	rm_hit	MZ10
run_1	block_1	Dreieck	D	2	0	227519.8		-1	-227520.8	rm_other	MZ10
run_1	block_1	Stern	A	2	0	231059.8		-1	-231060.8	rm_other	MZ10
run_1	block_1	Viereck	D	2	0	234199.8		-1	-234200.8	rm_other	MZ10
run_1	block_1	Dreieck	T	2	0	236539.8		-1	-236540.8	rm_other	MZ10
run_1	block_1	Viereck	X	2	0	240079.8		-1	-240080.8	rm_other	MZ10
run_1	block_1	Kreis	M	2	2	243219.8	2	243583.1	363.3	rm_hit	MZ10
run_1	block_1	Viereck	D	2	0	245519.8		-1	-245520.8	rm_other	MZ10
run_1	block_1	Viereck	E	2	0	248859.8		-1	-248860.8	rm_other	MZ10
run_1	block_1	Stern	E	2	0	251999.8		-1	-252000.8	rm_other	MZ10
run_1	block_1	Kreis	A	2	2	254939.8	2	255294.9	355.1	rm_hit	MZ10
run_1	block_1	Dreieck	M	2	0	257419.8		-1	-257420.8	rm_other	MZ10
run_1	block_1	Viereck	D	2	0	260959.8		-1	-260960.8	rm_other	MZ10
run_1	block_2	Stern	2	1	0	268499.8		-1	-268500.8	rm_other	MZ10
run_1	block_2	Viereck	4	1	0	272439.8		-1	-272440.8	rm_other	MZ10
run_1	block_2	Dreieck	7	1	0	275579.8		-1	-275580.8	rm_other	MZ10
