runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Dreieck	A	2	0	179916,8	 	-1	-179917,8	rm_other	RS01
run_1	block_1	Viereck	X	2	0	183650,2	 	-1	-183651,2	rm_other	RS01
run_1	block_1	Viereck	E	2	0	186383,5	 	-1	-186384,5	rm_other	RS01
run_1	block_1	Viereck	A	2	0	190516,8	 	-1	-190517,8	rm_other	RS01
run_1	block_1	Viereck	E	2	0	194650,2	 	-1	-194651,2	rm_other	RS01
run_1	block_1	Kreis	T	2	2	198583,5	2	198877,5	294	rm_hit	RS01
run_1	block_1	Viereck	D	2	0	199400,2	 	-1	-199401,2	rm_other	RS01
run_1	block_1	Kreis	D	2	2	202533,5	 	-1	-202534,5	rm_miss	RS01
run_1	block_1	Stern	E	2	0	206666,8	 	-1	-206667,8	rm_other	RS01
run_1	block_1	Dreieck	T	2	0	209200,2	 	-1	-209201,2	rm_other	RS01
run_1	block_1	Stern	T	2	0	212733,5	 	-1	-212734,5	rm_other	RS01
run_1	block_1	Dreieck	X	2	0	216466,9	 	-1	-216467,9	rm_other	RS01
run_1	block_1	Stern	A	2	0	219200,2	 	-1	-219201,2	rm_other	RS01
run_1	block_1	Dreieck	T	2	0	222333,5	 	-1	-222334,5	rm_other	RS01
run_1	block_1	Dreieck	M	2	0	224866,9	 	-1	-224867,9	rm_other	RS01
run_1	block_1	Dreieck	X	2	0	228800,2	 	-1	-228801,2	rm_other	RS01
run_1	block_1	Kreis	T	2	2	232733,5	2	232997,5	264	rm_hit	RS01
run_1	block_1	Stern	A	2	0	235333,5	 	-1	-235334,5	rm_other	RS01
run_1	block_1	Kreis	E	2	2	238866,9	2	239181,4	314,5	rm_hit	RS01
run_1	block_1	Viereck	X	2	0	240116,9	 	-1	-240117,9	rm_other	RS01
run_1	block_1	Kreis	A	2	2	244250,2	2	244613,4	363,2	rm_hit	RS01
run_1	block_1	Dreieck	M	2	0	245550,2	 	-1	-245551,2	rm_other	RS01
run_1	block_1	Kreis	A	2	2	248483,6	2	248813,4	329,8	rm_hit	RS01
run_1	block_1	Viereck	E	2	0	249950,2	 	-1	-249951,2	rm_other	RS01
run_1	block_1	Viereck	T	2	0	253483,6	 	-1	-253484,6	rm_other	RS01
run_1	block_1	Stern	A	2	0	256016,9	 	-1	-256017,9	rm_other	RS01
run_1	block_2	Kreis	7	1	0	270450,2	 	-1	-270451,2	rm_other	RS01
run_1	block_2	Viereck	9	1	0	274383,6	 	-1	-274384,6	rm_other	RS01
run_1	block_2	Kreis	7	1	0	276716,9	 	-1	-276717,9	rm_other	RS01
run_1	block_2	Viereck	4	1	0	279050,3	 	-1	-279051,3	rm_other	RS01
run_1	block_2	Dreieck	3	1	1	281583,6	1	282117,4	533,8	rm_hit	RS01
run_1	block_2	Viereck	4	1	0	283450,3	 	-1	-283451,3	rm_other	RS01
run_1	block_2	Kreis	4	1	0	286983,6	 	-1	-286984,6	rm_other	RS01
run_1	block_2	Stern	2	1	0	289716,9	 	-1	-289717,9	rm_other	RS01
run_1	block_2	Kreis	3	1	1	293050,3	1	293381,4	331,1	rm_hit	RS01
run_1	block_2	Stern	9	1	0	295316,9	 	-1	-295317,9	rm_other	RS01
run_1	block_2	Dreieck	3	1	1	297650,3	1	298085,5	435,2	rm_hit	RS01
run_1	block_2	Viereck	7	1	0	298616,9	 	-1	-298617,9	rm_other	RS01
run_1	block_2	Stern	3	1	1	301350,3	1	301701,4	351,1	rm_hit	RS01
