runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Stern	A	2	0	177445.2		-1	-177446.2	rm_other	VB04
run_1	block_1	Dreieck	D	2	0	179976.3		-1	-179977.3	rm_other	VB04
run_1	block_1	Stern	M	2	0	184122.7		-1	-184123.7	rm_other	VB04
run_1	block_1	Kreis	D	2	2	187886.1	2	188132.9	246.8	rm_hit	VB04
run_1	block_1	Viereck	T	2	0	189867.7		-1	-189868.7	rm_other	VB04
run_1	block_1	Stern	A	2	0	193597.7		-1	-193598.7	rm_other	VB04
run_1	block_1	Stern	E	2	0	197327.8		-1	-197328.8	rm_other	VB04
run_1	block_1	Kreis	M	2	2	201457.6	2	201804.9	347.3	rm_hit	VB04
run_1	block_1	Dreieck	E	2	0	204171.9		-1	-204172.9	rm_other	VB04
run_1	block_1	Kreis	M	2	2	206519.8	2	207124.9	605.1	rm_hit	VB04
run_1	block_1	Viereck	E	2	0	209067.6		-1	-209068.6	rm_other	VB04
run_1	block_1	Dreieck	D	2	0	212398		-1	-212399	rm_other	VB04
run_1	block_1	Stern	A	2	0	214729.3		-1	-214730.3	rm_other	VB04
run_1	block_1	Kreis	T	2	2	217260.4	2	217556.9	296.5	rm_hit	VB04
run_1	block_1	Dreieck	A	2	0	218292.9		-1	-218293.9	rm_other	VB04
run_1	block_1	Kreis	T	2	2	221440.1	2	221708.9	268.8	rm_hit	VB04
run_1	block_1	Dreieck	A	2	0	223088.7		-1	-223089.7	rm_other	VB04
run_1	block_1	Viereck	M	2	0	225836.3		-1	-225837.3	rm_other	VB04
run_1	block_1	Stern	E	2	0	228767.1		-1	-228768.1	rm_other	VB04
run_1	block_1	Kreis	X	2	2	231098.4	2	231676.9	578.5	rm_hit	VB04
run_1	block_1	Dreieck	M	2	0	232813.5		-1	-232814.5	rm_other	VB04
run_1	block_1	Stern	A	2	0	236943.3		-1	-236944.3	rm_other	VB04
run_1	block_1	Dreieck	E	2	0	239274.6		-1	-239275.6	rm_other	VB04
run_1	block_1	Stern	T	2	0	241639.2	2	241900.9	261.7	rm_false_alarm	VB04
run_1	block_1	Viereck	T	2	0	243087.9		-1	-243088.9	rm_other	VB04
run_1	block_1	Dreieck	T	2	0	246834.6		-1	-246835.6	rm_other	VB04
run_1	block_2	Stern	4	1	0	255477.1		-1	-255478.1	rm_other	VB04
run_1	block_2	Dreieck	6	1	0	258607.7		-1	-258608.7	rm_other	VB04
run_1	block_2	Dreieck	2	1	0	260972.3		-1	-260973.3	rm_other	VB04
run_1	block_2	Kreis	4	1	0	264136.2		-1	-264137.2	rm_other	VB04
run_1	block_2	Stern	7	1	0	267067		-1	-267068	rm_other	VB04
run_1	block_2	Viereck	9	1	0	270397.4		-1	-270398.4	rm_other	VB04
run_1	block_2	Dreieck	9	1	0	274527.1		-1	-274528.1	rm_other	VB04
run_1	block_2	Viereck	3	1	1	278074.1	1	278412.9	338.8	rm_hit	VB04
run_1	block_2	Dreieck	4	1	0	278973.3		-1	-278974.3	rm_other	VB04
run_1	block_2	Dreieck	2	1	0	282337		-1	-282338	rm_other	VB04
run_1	block_2	Stern	3	1	1	285667.4	1	286060.9	393.5	rm_hit	VB04
run_1	block_2	Viereck	4	1	0	286799.8		-1	-286800.8	rm_other	VB04
run_1	block_2	Kreis	3	1	1	290529.9	1	290876.9	347	rm_hit	VB04
run_1	block_2	Stern	7	1	0	292611.4		-1	-292612.4	rm_other	VB04
run_1	block_2	Viereck	7	1	0	294942.7		-1	-294943.7	rm_other	VB04
run_1	block_2	Stern	4	1	0	298089.9		-1	-298090.9	rm_other	VB04
run_1	block_2	Viereck	9	1	0	301853.3		-1	-301854.3	rm_other	VB04
run_1	block_2	Viereck	6	1	0	304983.9		-1	-304984.9	rm_other	VB04
run_1	block_2	Stern	7	1	0	307515		-1	-307516	rm_other	VB04
run_1	block_2	Viereck	6	1	0	311444.9		-1	-311445.9	rm_other	VB04
run_1	block_2	Kreis	3	1	1	315574.7	1	315900.9	326.2	rm_hit	VB04
run_1	block_2	Dreieck	4	1	0	317239.9		-1	-317240.9	rm_other	VB04
run_1	block_2	Viereck	3	1	1	320603.6	1	320924.9	321.3	rm_hit	VB04
run_1	block_2	Viereck	6	1	0	321469.5		-1	-321470.5	rm_other	VB04
run_1	block_2	Dreieck	7	1	0	324000.7		-1	-324001.7	rm_other	VB04
run_1	block_2	Stern	3	1	1	326332	1	326748.8	416.8	rm_hit	VB04
run_1	block_3	Stern	X	1	0	334874.5		-1	-334875.5	rm_other	VB04
run_1	block_3	Stern	A	1	0	337638.8		-1	-337639.8	rm_other	VB04
run_1	block_3	Viereck	D	1	0	341402.1		-1	-341403.1	rm_other	VB04
run_1	block_3	Kreis	A	1	0	345132.2		-1	-345133.2	rm_other	VB04
run_1	block_3	Stern	A	1	0	347663.3		-1	-347664.3	rm_other	VB04
run_1	block_3	Stern	M	1	1	351393.4	1	351804.8	411.4	rm_hit	VB04
run_1	block_3	Stern	A	1	0	353941.2		-1	-353942.2	rm_other	VB04
run_1	block_3	Viereck	T	1	0	357105.1		-1	-357106.1	rm_other	VB04
run_1	block_3	Viereck	A	1	0	360452.2		-1	-360453.2	rm_other	VB04
run_1	block_3	Viereck	T	1	0	363383	1	363644.8	261.8	rm_false_alarm	VB04
run_1	block_3	Stern	D	1	0	365980.7		-1	-365981.7	rm_other	VB04
run_1	block_3	Stern	M	1	1	370110.4	1	370508.9	398.5	rm_hit	VB04
run_1	block_3	Kreis	X	1	0	372241.9		-1	-372242.9	rm_other	VB04
run_1	block_3	Viereck	M	1	1	375405.8	1	375876.8	471	rm_hit	VB04
run_1	block_3	Kreis	E	1	0	377237.5		-1	-377238.5	rm_other	VB04
run_1	block_3	Dreieck	X	1	0	381383.9		-1	-381384.9	rm_other	VB04
run_1	block_3	Viereck	X	1	0	384914.2		-1	-384915.2	rm_other	VB04
run_1	block_3	Stern	A	1	0	387445.3		-1	-387446.3	rm_other	VB04
run_1	block_3	Dreieck	T	1	0	390575.9		-1	-390576.9	rm_other	VB04
run_1	block_3	Dreieck	M	1	1	393923	1	394380.8	457.8	rm_hit	VB04
run_1	block_3	Kreis	E	1	0	395338.4		-1	-395339.4	rm_other	VB04
run_1	block_3	Viereck	D	1	0	398685.5		-1	-398686.5	rm_other	VB04
run_1	block_3	Kreis	M	1	1	401816.1	1	402164.8	348.7	rm_hit	VB04
run_1	block_3	Viereck	A	1	0	403697.8		-1	-403698.8	rm_other	VB04
run_1	block_3	Kreis	M	1	1	407427.9	1	407740.8	312.9	rm_hit	VB04
run_1	block_3	Stern	A	1	0	409476.1		-1	-409477.1	rm_other	VB04
run_1	block_4	Stern	4	2	0	418318.4		-1	-418319.4	rm_other	VB04
run_1	block_4	Viereck	3	2	0	421648.8		-1	-421649.8	rm_other	VB04
run_1	block_4	Dreieck	2	2	2	425778.5	2	426116.8	338.3	rm_hit	VB04
run_1	block_4	Viereck	2	2	0	427443.7		-1	-427444.7	rm_other	VB04
