runid1	blockid1	form1	character1	seperateAttention1	target1	time1	code2	time2	time_diff	rm_type	subject1
run_1	block_1	Stern	E	2	0	163350.1		-1	-163351.1	rm_other	VW3
run_1	block_1	Viereck	E	2	0	166283.5		-1	-166284.5	rm_other	VW3
run_1	block_1	Viereck	M	2	0	169616.8		-1	-169617.8	rm_other	VW3
run_1	block_1	Stern	E	2	0	172350.1		-1	-172351.1	rm_other	VW3
run_1	block_1	Kreis	D	2	2	175483.5	2	175913.4	429.9	rm_hit	VW3
run_1	block_1	Stern	X	2	0	177250.1		-1	-177251.1	rm_other	VW3
run_1	block_1	Viereck	E	2	0	180983.5		-1	-180984.5	rm_other	VW3
run_1	block_1	Dreieck	M	2	0	183316.8		-1	-183317.8	rm_other	VW3
run_1	block_1	Viereck	M	2	0	187050.2		-1	-187051.2	rm_other	VW3
run_1	block_1	Viereck	E	2	0	190583.5		-1	-190584.5	rm_other	VW3
run_1	block_1	Kreis	D	2	2	193116.8	2	193537.4	420.6	rm_hit	VW3
run_1	block_1	Dreieck	E	2	0	194866.8		-1	-194867.8	rm_other	VW3
run_1	block_1	Stern	A	2	0	197600.2		-1	-197601.2	rm_other	VW3
run_1	block_1	Kreis	D	2	2	200333.5	2	200825.4	491.9	rm_hit	VW3
run_1	block_1	Dreieck	T	2	0	203150.2		-1	-203151.2	rm_other	VW3
run_1	block_1	Stern	D	2	0	206683.5		-1	-206684.5	rm_other	VW3
run_1	block_1	Dreieck	D	2	0	210216.8		-1	-210217.8	rm_other	VW3
run_1	block_1	Viereck	M	2	0	213750.2		-1	-213751.2	rm_other	VW3
run_1	block_1	Viereck	T	2	0	217083.5		-1	-217084.5	rm_other	VW3
run_1	block_1	Dreieck	T	2	0	219416.9		-1	-219417.9	rm_other	VW3
run_1	block_1	Viereck	E	2	0	223150.2		-1	-223151.2	rm_other	VW3
run_1	block_1	Kreis	M	2	2	225683.5	2	226209.4	525.9	rm_hit	VW3
run_1	block_1	Stern	M	2	0	227333.5		-1	-227334.5	rm_other	VW3
run_1	block_1	Kreis	D	2	2	229666.9	2	230153.4	486.5	rm_hit	VW3
run_1	block_1	Stern	T	2	0	231483.5		-1	-231484.5	rm_other	VW3
run_1	block_1	Kreis	E	2	2	235416.9	2	235977.4	560.5	rm_hit	VW3
run_1	block_2	Viereck	4	1	0	240266.9		-1	-240267.9	rm_other	VW3
run_1	block_2	Viereck	6	1	0	242800.2		-1	-242801.2	rm_other	VW3
run_1	block_2	Stern	4	1	0	245733.6		-1	-245734.6	rm_other	VW3
run_1	block_2	Stern	2	1	0	248066.9		-1	-248067.9	rm_other	VW3
run_1	block_2	Dreieck	4	1	0	251200.2		-1	-251201.2	rm_other	VW3
run_1	block_2	Stern	4	1	0	255133.6		-1	-255134.6	rm_other	VW3
run_1	block_2	Stern	6	1	0	258466.9		-1	-258467.9	rm_other	VW3
run_1	block_2	Stern	3	1	1	262400.2	1	262833.4	433.2	rm_hit	VW3
run_1	block_2	Viereck	6	1	0	263766.9		-1	-263767.9	rm_other	VW3
run_1	block_2	Viereck	3	1	1	266900.2	1	267345.6	445.4	rm_hit	VW3
run_1	block_2	Dreieck	4	1	0	268066.9		-1	-268067.9	rm_other	VW3
run_1	block_2	Dreieck	6	1	0	271800.2		-1	-271801.2	rm_other	VW3
run_1	block_2	Dreieck	3	1	1	274533.6	1	275009.4	475.8	rm_hit	VW3
run_1	block_2	Kreis	7	1	0	275533.6		-1	-275534.6	rm_other	VW3
run_1	block_2	Viereck	4	1	0	279466.9		-1	-279467.9	rm_other	VW3
run_1	block_2	Stern	3	1	1	282800.3	1	283241.4	441.1	rm_hit	VW3
run_1	block_2	Viereck	4	1	0	285166.9		-1	-285167.9	rm_other	VW3
run_1	block_2	Stern	6	1	0	287700.3		-1	-287701.3	rm_other	VW3
run_1	block_2	Dreieck	7	1	0	290233.6		-1	-290234.6	rm_other	VW3
run_1	block_2	Stern	9	1	0	294366.9		-1	-294367.9	rm_other	VW3
run_1	block_2	Dreieck	3	1	1	298500.3	1	299065.4	565.1	rm_hit	VW3
run_1	block_2	Kreis	6	1	0	299800.3		-1	-299801.3	rm_other	VW3
run_1	block_2	Stern	7	1	0	303333.6		-1	-303334.6	rm_other	VW3
run_1	block_2	Stern	4	1	0	307066.9		-1	-307067.9	rm_other	VW3
run_1	block_2	Kreis	3	1	1	310800.3	1	311185.4	385.1	rm_hit	VW3
run_1	block_2	Kreis	9	1	0	313316.9		-1	-313317.9	rm_other	VW3
run_1	block_3	Viereck	A	1	0	321733.6		-1	-321734.6	rm_other	VW3
run_1	block_3	Kreis	M	1	1	325467	1	325833.4	366.4	rm_hit	VW3
run_1	block_3	Kreis	X	1	0	326367		-1	-326368	rm_other	VW3
run_1	block_3	Viereck	E	1	0	329900.3		-1	-329901.3	rm_other	VW3
run_1	block_3	Kreis	E	1	0	333433.6		-1	-333434.6	rm_other	VW3
run_1	block_3	Kreis	D	1	0	336767		-1	-336768	rm_other	VW3
run_1	block_3	Stern	M	1	1	339100.3	1	339489.4	389.1	rm_hit	VW3
run_1	block_3	Kreis	T	1	0	340417		-1	-340418	rm_other	VW3
run_1	block_3	Kreis	E	1	0	343150.3		-1	-343151.3	rm_other	VW3
run_1	block_3	Dreieck	T	1	0	345483.7		-1	-345484.7	rm_other	VW3
run_1	block_3	Stern	T	1	0	347817		-1	-347818	rm_other	VW3
run_1	block_3	Kreis	A	1	0	350550.3		-1	-350551.3	rm_other	VW3
run_1	block_3	Dreieck	M	1	1	354683.7	1	355097.4	413.7	rm_hit	VW3
